c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
4.75468e-007	0	1.80686e-015	5.24063e-016	1.16546e-015	1.2828e-010	3.98107e-006	4.276e-011	4.11282e-011	2.89077e-011
4.75468e-007	0	1.51367e-015	3.84352e-016	9.49013e-016	1.12932e-010	5.01187e-006	3.7644e-011	3.32385e-011	2.25254e-011
4.75468e-007	0	1.29578e-015	2.81614e-016	7.88697e-016	1.01417e-010	6.30957e-006	3.38056e-011	2.7262e-011	1.76993e-011
4.75468e-007	0	1.12114e-015	2.04264e-016	6.627e-016	9.16873e-011	7.94328e-006	3.05624e-011	2.24697e-011	1.38912e-011
4.75468e-007	0	9.6508e-016	1.45698e-016	5.55389e-016	8.19381e-011	1e-005	2.73127e-011	1.83944e-011	1.0792e-011
7.53566e-007	0	3.80935e-007	3.69884e-007	3.7541e-007	0.00110505	1e-011	0.000359302	0.0124098	0.0123054
7.53566e-007	0	3.8057e-007	3.69523e-007	3.75047e-007	0.0011047	1.25893e-011	0.000359195	0.0123979	0.0122936
7.53566e-007	0	3.80112e-007	3.6907e-007	3.74591e-007	0.00110425	1.58489e-011	0.00035906	0.0123831	0.0122788
7.53566e-007	0	3.79537e-007	3.685e-007	3.74019e-007	0.00110368	1.99526e-011	0.00035889	0.0123645	0.0122602
7.53566e-007	0	3.78815e-007	3.67785e-007	3.733e-007	0.00110297	2.51189e-011	0.000358676	0.0123411	0.0122369
7.53566e-007	0	3.77909e-007	3.66888e-007	3.72399e-007	0.00110208	3.16228e-011	0.000358407	0.0123117	0.0122076
7.53566e-007	0	3.76774e-007	3.65764e-007	3.71269e-007	0.00110096	3.98107e-011	0.000358068	0.0122749	0.0121709
7.53566e-007	0	3.75353e-007	3.64357e-007	3.69855e-007	0.00109954	5.01187e-011	0.000357642	0.0122289	0.012125
7.53566e-007	0	3.73576e-007	3.62599e-007	3.68088e-007	0.00109777	6.30957e-011	0.000357107	0.0121713	0.0120676
7.53566e-007	0	3.7136e-007	3.60405e-007	3.65882e-007	0.00109554	7.94328e-011	0.000356434	0.0120994	0.0119959
7.53566e-007	0	3.68601e-007	3.57673e-007	3.63137e-007	0.00109275	1e-010	0.000355589	0.01201	0.0119067
7.53566e-007	0	3.65176e-007	3.54284e-007	3.5973e-007	0.00108924	1.25893e-010	0.000354528	0.0118989	0.011796
7.53566e-007	0	3.60939e-007	3.5009e-007	3.55514e-007	0.00108485	1.58489e-010	0.000353197	0.0117615	0.0116589
7.53566e-007	0	3.55719e-007	3.44926e-007	3.50322e-007	0.00107936	1.99526e-010	0.000351529	0.0115922	0.0114901
7.53566e-007	0	3.49326e-007	3.38601e-007	3.43963e-007	0.0010725	2.51189e-010	0.000349442	0.0113847	0.0112832
7.53566e-007	0	3.41544e-007	3.30904e-007	3.36224e-007	0.00106396	3.16228e-010	0.000346834	0.0111321	0.0110314
7.53566e-007	0	3.32147e-007	3.21614e-007	3.2688e-007	0.00105333	3.98107e-010	0.000343582	0.0108269	0.0107271
7.53566e-007	0	3.20911e-007	3.10509e-007	3.1571e-007	0.00104016	5.01187e-010	0.000339536	0.0104618	0.0103632
7.53566e-007	0	3.0763e-007	2.97391e-007	3.0251e-007	0.0010239	6.30957e-010	0.000334521	0.01003	0.00993282
7.53566e-007	0	2.92147e-007	2.82107e-007	2.87127e-007	0.00100394	7.94328e-010	0.000328331	0.0095262	0.00943084
7.53566e-007	0	2.74386e-007	2.64591e-007	2.69489e-007	0.000979558	1e-009	0.000320731	0.00894787	0.00885472
7.53566e-007	0	2.54393e-007	2.44893e-007	2.49643e-007	0.00095002	1.25893e-009	0.000311468	0.00829628	0.00820583
7.53566e-007	0	2.32357e-007	2.23211e-007	2.27784e-007	0.000914544	1.58489e-009	0.000300271	0.00757744	0.00749024
7.53566e-007	0	2.08647e-007	1.99923e-007	2.04285e-007	0.000872423	1.99526e-009	0.000286887	0.00680334	0.00672002
7.53566e-007	0	1.83803e-007	1.75573e-007	1.79688e-007	0.000823088	2.51189e-009	0.000271105	0.00599153	0.00591279
7.53566e-007	0	1.585e-007	1.50837e-007	1.54669e-007	0.000766223	3.16228e-009	0.000252794	0.00516412	0.0050907
7.53566e-007	0	1.33502e-007	1.26483e-007	1.29993e-007	0.000701939	3.98107e-009	0.000231965	0.00434634	0.00427898
7.53566e-007	0	1.09587e-007	1.03278e-007	1.06432e-007	0.000630901	5.01187e-009	0.000208816	0.00356385	0.00350321
7.53566e-007	0	8.74592e-008	8.19147e-008	8.4687e-008	0.000554451	6.30957e-009	0.000183778	0.00284007	0.0027867
7.53566e-007	0	6.7688e-008	6.29416e-008	6.53148e-008	0.000474645	7.94328e-009	0.000157528	0.00219386	0.00214811
7.53566e-007	0	5.06541e-008	4.67123e-008	4.86832e-008	0.000394176	1e-008	0.000130967	0.00163787	0.00159984
7.53566e-007	0	3.65325e-008	3.3371e-008	3.49518e-008	0.000316151	1.25893e-008	0.000105139	0.00117785	0.00114732
7.53566e-007	0	2.52929e-008	2.28559e-008	2.40744e-008	0.000243704	1.58489e-008	8.11044e-005	0.000812686	0.000789135
7.53566e-007	0	1.67377e-008	1.49414e-008	1.58396e-008	0.000179626	1.99526e-008	5.98122e-005	0.000535652	0.000518285
